match_id,date,team1,team2,venue,team1_winrate,team2_winrate,team1_form5,team2_form5,team1_form10,team2_form10,h2h_team1,team1_matches,team2_matches,venue_team1_wr,both_have_history,team1_won
297800,2007-10-20,India,Australia,Brabourne Stadium,0.8333333333333334,0.5454545454545454,0.8,0.6,0.8333333333333334,0.5,1.0,6,11,0.5,1,1
298795,2007-11-23,South Africa,New Zealand,New Wanderers Stadium,0.5555555555555556,0.5,0.8,0.4,0.5555555555555556,0.5,0.5,9,10,0.5,1,1
291343,2007-12-11,Australia,New Zealand,Western Australia Cricket Association Ground,0.5,0.45454545454545453,0.4,0.4,0.5,0.5,1.0,12,11,0.5,1,1
319112,2007-12-16,South Africa,West Indies,St George's Park,0.6,0.25,0.8,0.25,0.6,0.25,1.0,10,4,0.5,1,0
298804,2008-01-18,South Africa,West Indies,New Wanderers Stadium,0.5454545454545454,0.4,0.6,0.4,0.6,0.4,0.5,11,5,0.6,1,1
291356,2008-02-01,Australia,India,Melbourne Cricket Ground,0.5384615384615384,0.8571428571428571,0.4,1.0,0.5,0.8571428571428571,0.0,13,7,0.5,1,1
300435,2008-02-05,New Zealand,England,Eden Park,0.4166666666666667,0.2727272727272727,0.2,0.2,0.4,0.2,1.0,12,11,0.5,1,0
300436,2008-02-07,New Zealand,England,Jade Stadium,0.38461538461538464,0.3333333333333333,0.0,0.2,0.4,0.3,0.5,13,12,0.5,1,0
343764,2008-04-20,Pakistan,Bangladesh,National Stadium,0.8888888888888888,0.2857142857142857,0.8,0.2,0.8888888888888888,0.2857142857142857,1.0,9,7,0.5,1,1
296903,2008-06-13,England,New Zealand,Old Trafford,0.38461538461538464,0.35714285714285715,0.4,0.0,0.4,0.3,0.6666666666666666,13,14,0.5,1,1
319142,2008-06-20,West Indies,Australia,"Kensington Oval, Bridgetown",0.3333333333333333,0.5714285714285714,0.2,0.6,0.3333333333333333,0.6,0.5,6,14,0.5,1,1
